id,domain,email_id,outcome
1,examplecorp.com,ceo@examplecorp.com,safe
2,acmeinc.com,accounts@acmeinc.com,not safe
3,globalbizsolutions.net,finance@globalbizsolutions,safe
4,mycompanyllc.com,hr@mycompanyllc.com,not safe
5,techdynasty.org,admin@techdynasty.org,safe
6,cybersolutionsinc.net,ceo@cybersolutionsinc.net,not safe
7,securebankinggroup.com,finance@securebankinggroup,safe
8,exampleindustries.com,admin@exampleindustries.com,not safe
9,globaltechsolutions.org,ceo@globaltechsolutions.org,safe
10,innovativetechco.net,accounts@innovativetechco.net,not safe
11,consultingfirm.com,contact@consultingfirm.com,not safe
12,gamingcommunity.net,gamer@gamingcommunity.net,safe
13,charity.org,donations@charity.org,not safe
14,restaurant.com,reservations@restaurant.com,safe
15,freelancing.org,freelancer@freelancing.org,safe
16,e-commerce.com,support@e-commerce.com,not safe
17,startup.org,ceo@startup.org,safe
18,travelagency.com,info@travelagency.com,not safe
19,softwarecompany.net,support@softwarecompany.net,safe
20,fashionbrand.com,sales@fashionbrand.com,not safe
21,realtyfirm.net,agent@realtyfirm.net,safe
22,educationservices.org,studentinfo@educationservices.org,not safe
23,entertainment.com,tickets@entertainment.com,safe
24,musicstudio.net,recording@musicstudio.net,not safe
25,petstore.org,pets@petstore.org,safe
26,softwaredeveloper.com,dev@softwaredeveloper.com,safe
27,artgallery.org,curator@artgallery.org,not safe
28,sportsclub.com,membership@sportsclub.com,safe
29,cybersecurityfirm.net,info@cybersecurityfirm.net,not safe
30,newsportal.com,editor@newsportal.com,safe
31,marketingagency.com,contact@marketingagency.com,not safe
32,wellnesscenter.net,appointments@wellnesscenter.net,safe
33,technologyblog.org,editor@technologyblog.org,safe
34,constructionfirm.com,inquiries@constructionfirm.com,not safe
35,charityfoundation.org,support@charityfoundation.org,safe
36,automotivecompany.com,info@automotivecompany.com,not safe
37,bookshop.net,orders@bookshop.net,safe
38,fitnessclub.com,membership@fitnessclub.com,not safe
39,creativestudio.org,artist@creativestudio.org,safe
40,investmentfirm.com,clientservices@investmentfirm.com,not safe
41,musicfestival.net,tickets@musicfestival.net,safe
42,gamingplatform.com,support@gamingplatform.com,not safe
43,fooddelivery.com,orders@fooddelivery.com,safe
44,legalconsultancy.org,legal@legalconsultancy.org,safe
45,bloggingplatform.net,admin@bloggingplatform.net,not safe
46,telecommunications.com,support@telecommunications.com,safe
47,wellnessproducts.net,sales@wellnessproducts.net,not safe
48,marketingfirm.org,info@marketingfirm.org,safe
49,artstudio.com,artist@artstudio.com,not safe
50,fashiondesigner.net,designer@fashiondesigner.net,safe
51,technologycompany.org,contact@technologycompany.org,not safe
52,cookingwebsite.com,recipes@cookingwebsite.com,safe
53,petclinic.net,vet@petclinic.net,safe
54,financialservices.com,support@financialservices.com,not safe
55,newschannel.org,news@newschannel.org,safe
56,elearningplatform.com,support@elearningplatform.com,safe
57,petfoodstore.net,orders@petfoodstore.net,not safe
58,designagency.com,design@designagency.com,safe
59,automotiveindustry.net,info@automotiveindustry.net,not safe
60,publishinghouse.org,submissions@publishinghouse.org,safe
61,freelancers.com,inquiries@freelancers.com,not safe
62,tourismagency.net,bookings@tourismagency.net,safe
63,softwaredevelopment.com,info@softwaredevelopment.com,not safe
64,healthandwellness.org,support@healthandwellness.org,safe
65,socialnetwork.com,support@socialnetwork.com,not safe
66,eventplanner.net,events@eventplanner.net,safe
67,educationalinstitution.org,admissions@educationalinstitution.org,safe
68,hospitalityindustry.com,reservations@hospitalityindustry.com,not safe
69,animalshelter.org,adoption@animalshelter.org,safe
